hotspot,month,lat,lon,violations
G0000,2023-11-01,12.899627009701494,77.67546415223882,134
G0000,2023-12-01,12.899458925,77.67544731293103,116
G0000,2024-01-01,12.899839550683222,77.67546928154282,160
G0000,2024-02-01,12.89957193552972,77.67546137905774,87
G0000,2024-03-01,12.89961261754386,77.6754655385965,57
G0000,2024-04-01,12.899617976666667,77.67547666,30
G0001,2023-11-01,12.982499663952225,77.61093676666667,921
G0001,2023-12-01,12.982328176645769,77.61116146520376,638
G0001,2024-01-01,12.982523675290013,77.61081583183454,959
G0001,2024-02-01,12.982349361284722,77.61123115555556,576
G0001,2024-03-01,12.982531743793912,77.6110807238876,854
G0001,2024-04-01,12.982877264718613,77.61067942619047,462
G0002,2023-11-01,12.96955580131579,77.57608163289474,152
G0002,2023-12-01,12.969549490429042,77.57592329768977,303
G0002,2024-01-01,12.969543379674798,77.57591341382114,246
G0002,2024-02-01,12.96963221511628,77.57558520232558,86
G0002,2024-03-01,12.969465559664116,77.57583365252705,160
G0002,2024-04-01,12.969389126373626,77.57594052197803,91
G0003,2023-11-01,12.989493505357144,77.59924923035715,224
G0003,2023-12-01,12.989154096045196,77.59904205875706,177
G0003,2024-01-01,12.989611621138211,77.59959493495934,123
G0003,2024-02-01,12.989377825203253,77.59954891382114,123
G0003,2024-03-01,12.989875830434782,77.60006663826087,115
G0003,2024-04-01,12.989243422580646,77.59968587096775,62
G0006,2023-11-01,13.001422935643564,77.57103159339934,1515
G0006,2023-12-01,13.000868608387744,77.57120395263686,1991
G0006,2024-01-01,13.000009342037396,77.57111696363636,1551
G0006,2024-02-01,13.000862035166902,77.57105147625764,2127
G0006,2024-03-01,12.999159433133332,77.57147691526667,1500
G0006,2024-04-01,13.00084824423222,77.57117110543948,499
G0007,2023-11-01,12.91645348125,77.65174641875,16
G0007,2023-12-01,12.916292720000001,77.6517344,10
G0007,2024-01-01,12.916221416666666,77.65174022916666,24
G0007,2024-02-01,12.91620297,77.65173130000001,20
G0007,2024-03-01,12.916134033333334,77.6517676,3
G0007,2024-04-01,12.916176966666667,77.6517377,3
G0008,2023-11-01,12.978821447058822,77.58130088235293,34
G0008,2023-12-01,12.978996171794872,77.58159262820513,39
G0008,2024-01-01,12.978687726086957,77.5813343,23
G0008,2024-02-01,12.978843503846154,77.58146785384616,26
G0008,2024-03-01,12.97857597142857,77.58127672857142,7
G0008,2024-04-01,12.9791551,77.58192955,2
G0009,2023-11-01,12.903698431578947,77.70421402105264,19
G0009,2023-12-01,12.903686301818182,77.70417728,55
G0009,2024-01-01,12.903622730945505,77.7041534789646,28
