hotspot,name,lat,lon,patrol,shift,violations,impact
G0066,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanap",13.071,77.588,0,morning,5553,6.9
G0071,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru,",13.035,77.589,0,afternoon,3224,6.59
G0114,"Bhadrappa Flyover, Nagashetty Halli, RMV Stage 2",13.047,77.576,0,evening,916,4.9
G0102,"80 Feet Road, Block 2, Armane Nagar, Bengaluru, ",13.028,77.574,0,night,748,5.35
G0184,"Jakkur Main Road, Raitarasanthe, Nehru Nagar, Be",13.097,77.599,0,morning,717,4.47
G0067,"Mumbai Bengaluru Highway, Gorguntepalya Junction",13.031,77.536,0,afternoon,557,5.02
G0088,"15th Cross Road, Oscar Orchards, Sahakara Nagar,",13.063,77.588,0,evening,465,4.08
G0078,"RK Road Number 7, L&T Tech Park, Byatarayanapura",13.07,77.593,0,night,424,4.31
G0208,"Bellary Road, Esteem Mall, Hebbal Kempapura, Ben",13.05,77.593,0,morning,416,4.17
G0017,"Allalasandra Main Road, Taralabalu Enclave, Yela",13.094,77.594,0,afternoon,379,3.83
G0037,"Bellary Road, HGH Layout, Ganga Nagar, Bengaluru",13.023,77.585,0,evening,356,4.89
G0065,"Mumbai Bengaluru Highway, Cardinal One, Industri",13.028,77.543,0,night,344,4.04
G0136,"RT Nagar Main Road, Judicial Officers HBCS, Gang",13.023,77.593,0,morning,341,3.7
G0090,"Neeladri Road, Ajmera Annex, Karuna Nagar, Dodda",12.842,77.646,1,morning,1970,5.48
G0181,"17th Cross Road, Sector 7, HSR Layout, Bengaluru",12.912,77.635,1,afternoon,1121,4.78
G0036,"Hosapalya Main Road, BKL Colony, Bommanahalli, B",12.906,77.63,1,evening,1095,5.15
G0100,"Hosur Road, Ozone Manay Tech Park, Garvebhavi Pa",12.892,77.638,1,night,784,5.29
G0130,"14th Main Road, The Metropolitan Cooperative Hou",12.912,77.638,1,morning,753,4.81
G0000,"Amrutha College Road, Azalea, Owners Court Layou",12.9,77.675,1,afternoon,584,4.43
G0047,"Shri Ramalingeshwara Cave Temple Road, Royal Mee",12.876,77.596,1,evening,495,3.86
G0064,"1st Main Road, Ramaiah Reddy Layout, Singasandra",12.886,77.641,1,night,459,4.69
G0260,"Srinivagilu Main Road, ST Bed Layout Extension, ",12.932,77.632,1,morning,416,3.97
G0028,"Hosa Road, Channakeshava Nagar, Singasandra, Ben",12.87,77.655,1,afternoon,401,4.21
G0154,"Hosur Road, Krimson Square, Muneshwara Nagar, HS",12.912,77.626,1,evening,332,4.38
J:BTP051 - Safina Plaza Junction,BTP051 - Safina Plaza Junction,12.981,77.609,2,morning,15449,8.65
J:BTP082 - KR Market Junction,BTP082 - KR Market Junction,12.964,77.577,2,afternoon,11538,8.22
J:BTP040 - Elite Junction,BTP040 - Elite Junction,12.977,77.577,2,evening,10718,9.19
J:BTP044 - Sagar Theatre Junction,BTP044 - Sagar Theatre Junction,12.975,77.579,2,night,10549,9.09
J:BTP211 - Central Street Junction,BTP211 - Central Street Junction,12.983,77.603,2,morning,5388,7.92
J:BTP058 - Subbanna Junction,BTP058 - Subbanna Junction,12.979,77.579,2,afternoon,5189,8.09
G0001,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchet",12.983,77.611,2,evening,4410,7.16
J:BTP057 - Anand Rao Junction,BTP057 - Anand Rao Junction,12.979,77.574,2,night,3935,8.15
