shift,stops,naive_km,route_km,km_saved_pct,patrol
afternoon,3,15.17,15.17,0.0,0
evening,3,7.3,6.66,8.7,0
morning,4,11.4,11.4,0.0,0
night,3,12.26,10.51,14.2,0
afternoon,3,8.51,8.51,0.0,1
evening,3,5.95,5.95,0.0,1
morning,3,10.15,10.15,0.0,1
night,2,0.74,0.74,0.0,1
afternoon,9,15.72,7.24,54.0,2
evening,9,17.87,9.24,48.3,2
morning,10,27.6,13.21,52.1,2
night,9,17.63,9.46,46.3,2
afternoon,4,13.33,8.72,34.6,3
evening,4,12.57,11.73,6.6,3
morning,4,10.79,7.98,26.0,3
night,3,8.2,8.2,0.0,3
afternoon,11,32.26,15.12,53.1,4
evening,11,19.14,12.47,34.8,4
morning,11,24.7,15.36,37.8,4
night,10,16.23,9.96,38.7,4
afternoon,4,5.83,5.83,0.1,5
evening,3,6.19,6.19,0.0,5
morning,4,10.66,7.82,26.6,5
night,3,8.93,4.79,46.4,5
afternoon,1,0.0,0.0,0.0,6
morning,1,0.0,0.0,0.0,6
afternoon,6,12.55,10.64,15.3,7
evening,6,10.8,8.34,22.8,7
morning,6,14.12,9.61,31.9,7
night,6,7.74,5.68,26.7,7
