dow,hour,count
0,0,839
0,1,1487
0,2,1547
0,3,1907
0,4,2210
0,5,2049
0,6,1748
0,7,2299
0,8,3242
0,9,3469
0,10,3822
0,11,4388
0,12,2865
0,13,1449
0,14,813
0,15,204
0,16,35
0,17,67
0,18,60
0,19,4
0,21,1
0,22,66
0,23,109
1,0,820
1,1,1497
1,2,2295
1,3,3268
1,4,3664
1,5,3488
1,6,2868
1,7,2744
1,8,4039
1,9,3695
1,10,4674
1,11,4300
1,12,2681
1,13,1430
1,14,626
1,15,139
1,16,71
1,17,31
1,18,17
1,19,5
1,20,1
1,21,24
1,22,132
1,23,188
2,0,739
2,1,1559
2,2,2697
2,3,3278
2,4,3662
2,5,3311
2,6,3018
2,7,2887
2,8,3409
2,9,3792
2,10,4385
2,11,4093
2,12,2534
2,13,1515
2,14,514
2,15,117
2,16,69
2,17,29
2,18,2
2,20,20
2,21,36
2,22,155
2,23,153
3,0,883
3,1,1728
3,2,2623
3,3,3765
3,4,3868
3,5,3381
3,6,3097
3,7,2792
3,8,3821
3,9,3772
3,10,4431
3,11,4375
3,12,2494
3,13,1310
3,14,658
3,15,159
3,16,62
3,17,57
3,18,19
3,19,3
3,20,4
3,21,28
3,22,84
3,23,133
4,0,719
4,1,1670
4,2,2273
4,3,3117
4,4,3270
4,5,3523
4,6,3054
4,7,2744
4,8,3254
4,9,3639
4,10,3962
4,11,4342
4,12,2429
4,13,1529
4,14,891
4,15,154
4,16,67
4,17,21
4,18,1
4,19,2
4,20,3
4,21,20
4,22,100
4,23,80
5,0,695
5,1,1525
5,2,2623
5,3,3278
5,4,3818
5,5,3248
5,6,2955
5,7,2667
5,8,3551
5,9,3655
5,10,4943
5,11,4924
5,12,3230
5,13,1882
5,14,809
5,15,244
5,16,136
5,17,54
5,18,7
5,19,7
5,20,1
5,21,13
5,22,120
5,23,138
6,0,1120
6,1,1632
6,2,2203
6,3,2952
6,4,3020
6,5,3193
6,6,3096
6,7,3312
6,8,4474
6,9,4972
6,10,6363
6,11,5754
6,12,3456
6,13,2431
6,14,1323
6,15,207
6,16,143
6,17,118
6,18,44
6,19,6
6,20,13
6,21,26
6,22,68
6,23,234
